"Name","G","SV","HLD","IP","K%","BB%","K-BB%","ERA","FIP","WHIP","WAR","playerid"
"Yimi Garcia","5","0","0","7.0","12.5 %","4.2 %","8.3 %","0.00","2.70","0.57","0.0","12095"
"J.P. Howell","64","0","27","46.0","24.9 %","13.3 %","11.6 %","1.17","2.80","1.02","0.6","8245"
"Pedro Baez","15","0","2","19.1","19.2 %","6.9 %","12.3 %","1.86","3.80","0.83","0.0","5420"
"Brandon League","58","0","8","58.2","13.2 %","10.5 %","2.7 %","2.76","3.55","1.48","0.0","3731"
"Kenley Jansen","63","42","0","60.1","37.5 %","6.9 %","30.7 %","2.98","1.96","1.14","1.8","3096"
"Paco Rodriguez","14","0","3","10.2","26.8 %","7.3 %","19.5 %","4.22","1.91","1.22","0.2","13398"
"Jamey Wright","58","1","4","66.0","16.8 %","8.7 %","8.0 %","4.36","3.58","1.36","0.0","715"
"Chris Perez","47","1","6","44.0","18.3 %","12.6 %","5.8 %","4.50","5.28","1.39","-0.8","5213"
"Brian Wilson","55","1","21","44.2","25.7 %","13.6 %","12.1 %","4.63","4.00","1.63","-0.2","6485"
"Carlos Frias","10","0","1","19.1","17.7 %","3.8 %","13.9 %","5.12","4.16","1.03","-0.1","3547"
