"FB Rank","Name","FB Score","G","SV","HLD","IP","K%","BB%","K-BB%","ERA","FIP","WHIP","WAR"
"1","Kenley Jansen",72.5,63,42,0,60.1,"37.5 %","6.9 %","30.7 %",2.98,1.96,1.14,1.8
"2","J.P. Howell",68.8,64,0,27,46,"24.9 %","13.3 %","11.6 %",1.17,2.8,1.02,0.6
"3","Paco Rodriguez",62.1,14,0,3,10.2,"26.8 %","7.3 %","19.5 %",4.22,1.91,1.22,0.2
"4","Jamey Wright",60.8,58,1,4,66,"16.8 %","8.7 %","8.0 %",4.36,3.58,1.36,0
"5","Yimi Garcia",55.4,5,0,0,7,"12.5 %","4.2 %","8.3 %",0,2.7,0.57,0
"6","Pedro Baez",53.3,15,0,2,19.1,"19.2 %","6.9 %","12.3 %",1.86,3.8,0.83,0
"7","Brandon League",50.4,58,0,8,58.2,"13.2 %","10.5 %","2.7 %",2.76,3.55,1.48,0
"8","Brian Wilson",48.3,55,1,21,44.2,"25.7 %","13.6 %","12.1 %",4.63,4,1.63,-0.2
"9","Chris Perez",44.2,47,1,6,44,"18.3 %","12.6 %","5.8 %",4.5,5.28,1.39,-0.8
"10","Carlos Frias",34.2,10,0,1,19.1,"17.7 %","3.8 %","13.9 %",5.12,4.16,1.03,-0.1
