"","Name","G","SV","HLD","IP","K.","BB.","K.BB.","ERA","FIP","WHIP","WAR","Overall"
"1","Kenley Jansen",56,37,0,53.1,"38.6 %","6.8 %","31.8 %",2.87,1.76,1.16,1.8,81.2
"2","J.P. Howell",59,0,25,42.2,"24.6 %","12.6 %","12.0 %",1.27,2.76,0.98,0.6,73.3
"3","Jamey Wright",50,1,4,60.2,"17.7 %","8.2 %","9.4 %",3.86,3.48,1.25,0.1,69.3
"4","Brandon League",51,0,8,52,"12.3 %","10.1 %","2.2 %",2.6,3.5,1.48,0.1,51.7
"5","Paul Maholm",22,0,0,27,"14.4 %","8.5 %","5.9 %",5,3.21,1.52,0.1,46.6
"6","Brian Wilson",49,1,19,41,"25.8 %","13.9 %","11.9 %",5.05,4.16,1.73,-0.2,44.3
"7","Chris Withrow",20,0,6,21.1,"31.1 %","20.0 %","11.1 %",2.95,3.79,1.31,-0.1,43.2
"8","Chris Perez",42,1,6,39.1,"17.3 %","12.1 %","5.2 %",5.03,5.57,1.45,-0.9,40.3
