"FB Rank","Name","FB Score","G","SV","HLD","IP","K%","BB%","K-BB%","ERA","FIP","WHIP","WAR"
"1","Kenley Jansen",72.2,67,44,0,64.1,37.4,7.2,30.2,2.8,1.94,1.15,1.9
"2","J.P. Howell",68.1,67,0,27,48.1,24.5,12.8,11.7,2.23,3.02,1.14,0.4
"3","Paco Rodriguez",67.4,17,0,4,13.1,29.2,8.3,20.8,3.38,1.93,1.05,0.2
"4","Jamey Wright",61.5,59,1,4,67,17.2,8.6,8.6,4.3,3.51,1.36,0.1
"5","Pedro Baez",55.6,18,0,5,22.1,20,5.9,14.1,2.01,4.02,0.85,0
"6","Brandon League",52.8,61,0,9,61.2,13.4,10,3.4,2.63,3.47,1.48,0.1
"7","Scott Elbert",51.7,5,0,0,3.2,6.7,0,6.7,2.45,2.58,1.09,0
"8","Brian Wilson",47.9,58,1,22,46.2,24.9,13.4,11.5,4.82,4.33,1.65,-0.4
"9","Yimi Garcia",46.2,6,0,0,8,14.3,3.6,10.7,1.13,4.13,0.63,0
"10","Chris Perez",46.2,49,1,6,46.1,19.5,12.5,7,4.27,5.07,1.36,-0.8
"11","Carlos Frias",42.7,12,0,1,22.2,21.3,5.3,16,5.56,3.74,1.1,-0.1
"12","Daniel Coulombe",37.8,4,0,0,3,13.3,13.3,0,0,3.79,1.33,0
