"Name","G","SV","HLD","IP","K%","BB%","K-BB%","ERA","FIP","WHIP","WAR","playerid"
"Daniel Coulombe","4","0","0","3.0","13.3 %","13.3 %","0.0 %","0.00","3.79","1.33","0.0","13293"
"Yimi Garcia","6","0","0","8.0","14.3 %","3.6 %","10.7 %","1.13","4.13","0.63","0.0","12095"
"Pedro Baez","18","0","5","22.1","20.0 %","5.9 %","14.1 %","2.01","4.02","0.85","0.0","5420"
"J.P. Howell","67","0","27","48.1","24.5 %","12.8 %","11.7 %","2.23","3.02","1.14","0.4","8245"
"Scott Elbert","5","0","0","3.2","6.7 %","0.0 %","6.7 %","2.45","2.58","1.09","0.0","7489"
"Brandon League","61","0","9","61.2","13.4 %","10.0 %","3.4 %","2.63","3.47","1.48","0.1","3731"
"Kenley Jansen","67","44","0","64.1","37.4 %","7.2 %","30.2 %","2.80","1.94","1.15","1.9","3096"
"Paco Rodriguez","17","0","4","13.1","29.2 %","8.3 %","20.8 %","3.38","1.93","1.05","0.2","13398"
"Chris Perez","49","1","6","46.1","19.5 %","12.5 %","7.0 %","4.27","5.07","1.36","-0.8","5213"
"Jamey Wright","59","1","4","67.0","17.2 %","8.6 %","8.6 %","4.30","3.51","1.36","0.1","715"
"Brian Wilson","58","1","22","46.2","24.9 %","13.4 %","11.5 %","4.82","4.33","1.65","-0.4","6485"
"Carlos Frias","12","0","1","22.2","21.3 %","5.3 %","16.0 %","5.56","3.74","1.10","-0.1","3547"
