"","Name","G","SV","HLD","IP","K.","BB.","K.BB.","ERA","FIP","WHIP","WAR","Overall"
"1","Kenley Jansen",58,39,0,55.1,"39.7 %","6.6 %","33.0 %",2.77,1.63,1.12,2,81.8
"2","J.P. Howell",61,0,25,43.2,"24.4 %","13.4 %","11.1 %",1.24,2.85,1.03,0.6,70.8
"3","Jamey Wright",53,1,4,63.1,"18.0 %","8.2 %","9.7 %",3.84,3.41,1.26,0.2,69.5
"4","Brandon League",53,0,8,54,"12.7 %","10.1 %","2.5 %",2.67,3.46,1.48,0.1,50
"5","Brian Wilson",51,1,19,41.2,"25.5 %","13.8 %","11.7 %",4.97,4.14,1.7,-0.2,45.5
"6","Chris Withrow",20,0,6,21.1,"31.1 %","20.0 %","11.1 %",2.95,3.79,1.31,-0.1,44.2
"7","Chris Perez",43,1,6,40,"17.1 %","12.5 %","4.6 %",4.95,5.6,1.45,-0.9,38.3
