"","Name","G","SV","HLD","IP","K","BB","K.BB","ERA","FIP","WHIP","WAR","Overall"
"1","Kenley Jansen",54,35,0,51.1,38.2,6.6,31.6,2.98,1.81,1.17,1.7,85.8
"2","J.P. Howell",56,0,24,41,24.2,12.4,11.8,1.32,2.77,1,0.6,76.7
"3","Jamey Wright",47,1,4,58,18.4,8.6,9.8,3.72,3.27,1.26,0.3,64.2
"4","Brandon League",49,0,8,51,12.7,10,2.7,2.47,3.45,1.43,0.1,53.4
"5","Brian Wilson",47,1,18,39.1,26.9,14,12.9,5.26,4.13,1.7,-0.2,47.7
"6","Chris Withrow",20,0,6,21.1,31.1,20,11.1,2.95,3.79,1.31,-0.1,44.3
"7","Paul Maholm",22,0,0,27,14.4,8.5,5.9,5,3.21,1.52,0.1,40.3
"8","Chris Perez",42,1,6,39.1,17.3,12.1,5.2,5.03,5.58,1.45,-0.9,37.5
